"filename", "language", "Ini", "C++", "comment", "blank", "total"
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/platformio.ini", "Ini", -1, 0, 0, -1, -2
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Animation.cpp", "C++", 0, 149, -15, 28, 162
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Animation.h", "C++", 0, 14, -2, 3, 15
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Calculator.cpp", "C++", 0, 16, 3, 2, 21
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Checkbox.cpp", "C++", 0, 3, 0, 0, 3
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Cursor.cpp", "C++", 0, 11, 0, 2, 13
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Cursor.h", "C++", 0, 1, 0, -1, 0
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/ExpressionBlock.cpp", "C++", 0, 1, 0, 0, 1
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Funstuff.cpp", "C++", 0, 32, 42, 6, 80
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Funstuff.h", "C++", 0, 20, 0, 9, 29
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/InputBox.cpp", "C++", 0, 1, 1, 0, 2
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Macropad.cpp", "C++", 0, 3, 0, -1, 2
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/MacropadUI.cpp", "C++", 0, 1, 0, 0, 1
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Menu.cpp", "C++", 0, 45, 9, 8, 62
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Menu.h", "C++", 0, 3, 0, 2, 5
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Sidebar.cpp", "C++", 0, 2, 0, 0, 2
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/StopwatchUI.cpp", "C++", 0, 9, 1, 0, 10
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/UIElement.cpp", "C++", 0, 42, 0, 5, 47
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/UIElement.h", "C++", 0, 6, 0, 6, 12
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/UIMain.cpp", "C++", 0, 19, 0, 1, 20
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/UIMain.h", "C++", 0, 1, 0, 0, 1
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Util.cpp", "C++", 0, 16, 0, 5, 21
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Util.h", "C++", 0, 5, 1, 2, 8
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/main.cpp", "C++", 0, 2, 1, 4, 7
"Total", "-", -1, 402, 41, 80, 522
