"filename", "language", "Ini", "C++", "comment", "blank", "total"
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/platformio.ini", "Ini", 13, 0, 9, 2, 24
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Animation.cpp", "C++", 0, 403, 19, 73, 495
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Animation.h", "C++", 0, 52, 0, 25, 77
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/BinLink.cpp", "C++", 0, 12, 0, 6, 18
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/BinLink.h", "C++", 0, 14, 0, 7, 21
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Box.cpp", "C++", 0, 7, 0, 3, 10
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Box.h", "C++", 0, 10, 0, 6, 16
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Calculator.cpp", "C++", 0, 107, 10, 13, 130
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Calculator.h", "C++", 0, 24, 1, 8, 33
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Checkbox.cpp", "C++", 0, 45, 0, 8, 53
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Checkbox.h", "C++", 0, 20, 0, 7, 27
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/ChineseText.cpp", "C++", 0, 234, 1, 16, 251
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/ChineseText.h", "C++", 0, 16, 0, 6, 22
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Cursor.cpp", "C++", 0, 46, 0, 12, 58
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Cursor.h", "C++", 0, 19, 0, 11, 30
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Expression.cpp", "C++", 0, 386, 21, 42, 449
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Expression.h", "C++", 0, 34, 0, 28, 62
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/ExpressionBlock.cpp", "C++", 0, 27, 0, 6, 33
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/ExpressionBlock.h", "C++", 0, 23, 0, 8, 31
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Funstuff.cpp", "C++", 0, 32, 42, 6, 80
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Funstuff.h", "C++", 0, 20, 0, 9, 29
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/IOLogger.cpp", "C++", 0, 0, 0, 1, 1
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/IOLogger.h", "C++", 0, 10, 0, 4, 14
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/InputBox.cpp", "C++", 0, 151, 8, 27, 186
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/InputBox.h", "C++", 0, 33, 0, 20, 53
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Keyboard.cpp", "C++", 0, 154, 6, 22, 182
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Keyboard.h", "C++", 0, 36, 0, 26, 62
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/ListSelector.cpp", "C++", 0, 8, 0, 3, 11
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/ListSelector.h", "C++", 0, 24, 0, 5, 29
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Macropad.cpp", "C++", 0, 173, 11, 23, 207
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Macropad.h", "C++", 0, 40, 0, 20, 60
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/MacropadUI.cpp", "C++", 0, 19, 1, 5, 25
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/MacropadUI.h", "C++", 0, 15, 0, 7, 22
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Menu.cpp", "C++", 0, 238, 25, 38, 301
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Menu.h", "C++", 0, 38, 1, 25, 64
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Node.cpp", "C++", 0, 125, 14, 28, 167
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Node.h", "C++", 0, 39, 0, 28, 67
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/ProgressBar.cpp", "C++", 0, 20, 1, 5, 26
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/ProgressBar.h", "C++", 0, 13, 1, 6, 20
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Sidebar.cpp", "C++", 0, 13, 0, 2, 15
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Sidebar.h", "C++", 0, 5, 0, 3, 8
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Slider.cpp", "C++", 0, 83, 7, 13, 103
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Slider.h", "C++", 0, 27, 0, 6, 33
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Stopwatch.cpp", "C++", 0, 49, 0, 14, 63
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Stopwatch.h", "C++", 0, 21, 1, 14, 36
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/StopwatchUI.cpp", "C++", 0, 64, 2, 9, 75
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/StopwatchUI.h", "C++", 0, 18, 0, 8, 26
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Text.cpp", "C++", 0, 31, 0, 12, 43
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Text.h", "C++", 0, 18, 0, 6, 24
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/UIElement.cpp", "C++", 0, 151, 1, 41, 193
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/UIElement.h", "C++", 0, 54, 0, 41, 95
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/UIMain.cpp", "C++", 0, 164, 1, 32, 197
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/UIMain.h", "C++", 0, 34, 0, 7, 41
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Util.cpp", "C++", 0, 243, 46, 39, 328
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/Util.h", "C++", 0, 94, 3, 22, 119
"/Users/shao/Documents/PlatformIO/Projects/230113-120228-esp32doit-devkit-v1/src/main.cpp", "C++", 0, 46, 16, 22, 84
"Total", "-", 13, 3782, 248, 886, 4929
